,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
242,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,2,662.4751,348.33
243,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,556.5243,349.13
244,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,652.0611,354.8
245,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,646.9415,346.03
246,2,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,610.4124,362.72
247,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,757.5211,345.92
248,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,551.2795,349.94
249,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,723.008,347.26
250,0,0,3,0,0,0,0,1,0,1,0,2,0,0,0,0,4,588.6559,348.85
251,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,513.075,345.16
252,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,765.0555,343.91
