,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
270,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,-212.6464,350.52
271,0,0,2,1,4,0,0,0,0,0,0,2,0,0,0,0,4,-336.0091,356.62
272,0,1,0,0,3,0,0,0,0,2,1,0,0,4,0,0,5,-286.7794,352.32
273,0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,3,5,-202.0231,357.21
274,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,-290.9787,350.63
275,0,0,4,0,0,0,0,0,3,0,0,0,0,1,1,3,5,-488.7587,358.74
276,0,0,0,0,0,0,3,1,0,2,4,4,0,0,0,0,5,-163.8054,364.18
277,0,3,0,4,0,0,0,2,0,0,4,0,0,0,0,0,4,-243.1666,357.85
278,0,0,1,3,3,0,0,0,0,3,0,4,0,0,0,1,6,-166.9563,366.36
279,0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,3,-358.3334,356.53
280,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,3,-310.8004,349.19
281,0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,2,4,-120.8628,371.76
282,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,3,-349.4626,348.52
283,0,3,4,3,0,0,0,0,0,0,0,0,3,4,3,0,6,-452.1789,364.93
284,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,-538.558,354.78
285,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,-480.1172,345.27
286,0,1,0,2,0,0,0,4,3,3,0,0,0,0,0,0,5,-262.5859,369.43
287,0,3,0,3,0,1,4,0,0,0,0,2,2,0,0,0,6,-389.4414,369.5
288,0,0,4,0,4,0,3,0,4,1,0,0,0,0,0,0,5,-210.9712,360.04
289,0,0,0,4,3,0,0,4,0,0,1,0,0,3,0,2,6,-286.8335,374.14
