['Fl', 'Fl', 'H', 'I', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  229.14
['Fl', 'Fl', 'H', 'I', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  153.49
['Fl', 'Fl', 'H', 'I', 'H', 'H', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  296.25
['Fl', 'Fl', 'H', 'I', 'H', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  277.97
['Fl', 'Fl', 'H', 'I', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  264.06
['Fl', 'Fl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H', 'H']  279.35
['Fl', 'Fl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  251.54
['Fl', 'Fl', 'H', 'H', 'Cl', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  273.22
['Fl', 'Fl', 'H', 'H', 'Br', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  296.99
['Fl', 'Fl', 'H', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  238.11
['Fl', 'Fl', 'H', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  278.5
['Fl', 'Fl', 'H', 'H', 'I', 'Fl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  298.22
['Fl', 'Fl', 'H', 'H', 'I', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  275.73
['Fl', 'Fl', 'H', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  223.34
['Fl', 'Fl', 'H', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  166.79
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  274.6
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  259.72
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  248.55
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H']  295.49
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H']  282.73
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H']  273.16
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'Br', 'H', 'H', 'H', 'H']  298.25
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H', 'H']  272.1
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'Cl', 'H', 'H', 'H']  286.63
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'Br', 'H', 'H', 'H']  273.11
['Fl', 'Fl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  207.65
['Fl', 'Fl', 'H', 'H', 'H', 'I', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  296.75
['Fl', 'Fl', 'H', 'H', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  277.54
['Fl', 'Fl', 'H', 'H', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  262.76
['Fl', 'Fl', 'H', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  296.68
['Fl', 'Cl', 'H', 'Cl', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  294.6
['Fl', 'Cl', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  294.6
['Fl', 'Cl', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  264.91
['Fl', 'Cl', 'H', 'Br', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  262.51
['Fl', 'Cl', 'H', 'I', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  278.22
['Fl', 'Cl', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  236.82
['Fl', 'Cl', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  158.94
['Fl', 'Cl', 'H', 'I', 'H', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  234.38
['Fl', 'Cl', 'H', 'I', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  153.39
['Fl', 'Cl', 'H', 'I', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  297.24
['Fl', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  286.31
['Fl', 'Cl', 'H', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  270.39
['Fl', 'Cl', 'H', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  260.62
['Fl', 'Cl', 'H', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  200.07
['Fl', 'Cl', 'H', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'I', 'H', 'H', 'H']  258.36
['Fl', 'Cl', 'H', 'H', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  299.92
['Fl', 'Cl', 'H', 'H', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  286.6
['Fl', 'Br', 'H', 'Cl', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  282.27
['Fl', 'Br', 'H', 'Br', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  272.61
['Fl', 'Br', 'H', 'Br', 'H', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  248.92
['Fl', 'Br', 'H', 'I', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  279.78
['Fl', 'Br', 'H', 'I', 'Br', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  243.08
['Fl', 'Br', 'H', 'I', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']  170.29
